#,,Character,,Body,,Tires,,Gliders,Speed Ground,Speed Water,Speed Air,Speed Anti-Gravity,Acceleration,Weight,Handling Ground,Handling Water,Handling Air,Handling Anti-Gravity,Traction,MiniTurbo,Stats total,Speed + MT total
5122,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.25,4.25,4.5,4,4,3,3.75,3.5,4,4.25,3.25,4.75,46.5,8
5194,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3,4,4.5,3.5,4.5,2.75,4.25,3.5,4.5,4,3,5,46.5,8
5114,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.75,4.25,4.5,4.5,3.5,3.5,3.5,3.25,3.75,4,3.5,4.25,46.25,8
5121,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.5,4.25,4.75,3.75,3.75,3.25,3.75,3.5,3.75,4.25,3.25,4.5,46.25,8
5123,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.5,4,4.75,4,3.75,3.5,3.75,3.75,3.75,4,3,4.5,46.25,8
5124,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,4,4.5,4,4,3.25,3.75,3.75,4,4,3,4.75,46.25,8
5186,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4.5,4,4,3.25,4,3.25,4.25,3.75,3.25,4.5,46.25,8
5193,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",1,"Super Glider, Waddle Wing, Hylian Kite",3.25,4,4.75,3.25,4.25,3,4.25,3.5,4.25,4,3,4.75,46.25,8
5195,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.25,3.75,4.75,3.5,4.25,3.25,4.25,3.75,4.25,3.75,2.75,4.75,46.25,8
5196,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,3.75,4.5,3.5,4.5,3,4.25,3.75,4.5,3.75,2.75,5,46.25,8
3610,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3,4,4.25,3.75,4.25,2.5,3.75,3.5,4,4.25,3.75,5,46,8
3682,8,"Peach, Daisy, Yoshi, Birdo",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",3,"Roller, Azure Roller",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",2.75,3.75,4.25,3.25,4.75,2.25,4.25,3.5,4.5,4,3.5,5.25,46,8
5113,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",4,4.25,4.75,4.25,3.25,3.75,3.5,3.25,3.5,4,3.5,4,46,8
5115,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",4,4,4.75,4.5,3.25,4,3.5,3.5,3.5,3.75,3.25,4,46,8
5116,11,"Luigi, Iggy",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.75,4,4.5,4.5,3.5,3.75,3.5,3.5,3.75,3.75,3.25,4.25,46,8
5185,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",1,"Super Glider, Waddle Wing, Hylian Kite",3.75,4,4.75,3.75,3.75,3.5,4,3.25,4,3.75,3.25,4.25,46,8
5187,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",3,"Wario Wing, Plane Glider, Gold Glider, Paraglider",3.75,3.75,4.75,4,3.75,3.75,4,3.5,4,3.5,3,4.25,46,8
5188,11,"Luigi, Iggy",5,"Cat Cruiser, Comet, Yoshi Bike, Teddy Buggy",1,"Standard, Blue Standard, GLA Tires",4,"Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.5,3.75,4.5,4,4,3.5,4,3.5,4.25,3.5,3,4.5,46,8
3602,8,"Peach, Daisy, Yoshi, Birdo",3,"Mach 8, Sports Coupe, Inkstriker",1,"Standard, Blue Standard, GLA Tires",2,"Cloud Glider, Parachute, Flower Glider, Paper Glider",3.5,4,4.25,4.25,3.75,3,3.5,3.25,3.75,4,4,4.5,45.75,8
